Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
0,"3 BHK Flat for Sale in Sector 4, Delhi","A beautiful 3 BHK apartment located in Sector 4, Delhi, close to schools and markets.",2.57 Cr,,"Sector 4, Delhi",85.8 sqm,Ready to Move,12 out of 19,New Property,Unfurnished,North-East,Garden/Park,Society 126,3.0,,0.0,Power Of Attorney,1420 sqft,30x30,
1,"2 BHK Flat for Sale in Sector 59, Pune","A beautiful 2 BHK apartment located in Sector 59, Pune, close to schools and markets.",86.55 Lac,8654558.0,"Sector 59, Pune",77.8 sqm,Ready to Move,5 out of 19,New Property,Furnished,South-West,Pool,Society 194,1.0,,1.0,Freehold,98.1 sqm,28x28,
2,"5 BHK Flat for Sale in Sector 35, Faridabad","A beautiful 5 BHK apartment located in Sector 35, Faridabad, close to schools and markets.",1.21 Cr,,"Sector 35, Faridabad",155.5 sqm,Ready to Move,9 out of 26,Resale,Furnished,South-West,,Society 328,5.0,1.0,1.0,Power Of Attorney,2448 sqft,40x40,302.2 sqm
3,"4 BHK Flat for Sale in Sector 15, Pune","A beautiful 4 BHK apartment located in Sector 15, Pune, close to schools and markets.",1.66 Cr,,"Sector 15, Pune",1533 sqft,Ready to Move,7 out of 9,Resale,Unfurnished,North,Pool,Society 82,4.0,0.0,1.0,Freehold,2130 sqft,39x39,
4,"1 BHK Flat for Sale in Sector 1, Chandigarh","A beautiful 1 BHK apartment located in Sector 1, Chandigarh, close to schools and markets.",38.45 Lac,3845432.0,"Sector 1, Chandigarh",325 sqft,Under Construction,Basement out of 8,New Property,Semi-Furnished,South-West,Main Road,Society 251,1.0,0.0,,Leasehold,493 sqft,18x18,
5,"2 BHK Flat for Sale in Sector 57, Navi Mumbai","A beautiful 2 BHK apartment located in Sector 57, Navi Mumbai, close to schools and markets.",1.22 Cr,,"Sector 57, Navi Mumbai",632 sqft,Ready to Move,6 out of 19,New Property,Furnished,,Club,Society 232,2.0,,1.0,Co-operative Society,833 sqft,25x25,
6,"1 BHK Flat for Sale in Sector 55, Navi Mumbai","A beautiful 1 BHK apartment located in Sector 55, Navi Mumbai, close to schools and markets.",47.46 Lac,4746097.0,"Sector 55, Navi Mumbai",41.7 sqm,Ready to Move,11 out of 11,New Property,Semi-Furnished,West,Not Available,Society 374,1.0,1.0,1.0,Co-operative Society,45.1 sqm,21x21,
7,"4 BHK Flat for Sale in Sector 8, Faridabad","A beautiful 4 BHK apartment located in Sector 8, Faridabad, close to schools and markets.",1.23 Cr,,"Sector 8, Faridabad",1513 sqft,Under Construction,24 out of 24,New Property,Furnished,East,,Society 2,3.0,2.0,1.0,Freehold,172.6 sqm,38x38,
8,"1 BHK Flat for Sale in Enclave, Delhi","A beautiful 1 BHK apartment located in Enclave, Delhi, close to schools and markets.",61.36 Lac,6135695.0,"Enclave, Delhi",389 sqft,Ready to Move,15 out of 30,Resale,Furnished,West,,Society 305,1.0,1.0,2.0,Power Of Attorney,534 sqft,19x19,
9,"5 BHK Flat for Sale in Phase 9, Ahmedabad","A beautiful 5 BHK apartment located in Phase 9, Ahmedabad, close to schools and markets.",1.9 Cr,,"Phase 9, Ahmedabad",1862 sqft,Under Construction,4 out of 4,Resale,Furnished,East,,,4.0,1.0,1.0,Power Of Attorney,2604 sqft,43x43,253.2 sqm
10,"3 BHK Flat for Sale in Colony, Noida","A beautiful 3 BHK apartment located in Colony, Noida, close to schools and markets.",80.51 Lac,8050664.0,"Colony, Noida",1079 sqft,Under Construction,28 out of 29,Resale,Semi-Furnished,South,Main Road,,3.0,1.0,0.0,Leasehold,1428 sqft,32x32,
11,"3 BHK Flat for Sale in Sector 49, Delhi","A beautiful 3 BHK apartment located in Sector 49, Delhi, close to schools and markets.",2.63 Cr,,"Sector 49, Delhi",106.2 sqm,Under Construction,6 out of 28,New Property,Semi-Furnished,South-East,Not Available,Society 241,3.0,,1.0,Co-operative Society,1330 sqft,33x33,
12,"2 BHK Flat for Sale in Sector 56, Thane","A beautiful 2 BHK apartment located in Sector 56, Thane, close to schools and markets.",1.21 Cr,,"Sector 56, Thane",750 sqft,Under Construction,1 out of 1,Resale,Semi-Furnished,North-West,Garden/Park,Society 262,1.0,3.0,1.0,Freehold,923 sqft,27x27,
